id,created_at,updated_at,is_watched,show_on,video_details_id_id,hotel_id_id,flag
169,"2018-05-07 09:52:49.150933","2018-04-11 05:56:57.319909",1,"2018-05-07 09:52:49.150979",31,2,T
170,"2018-05-07 09:52:49.285193","2018-04-11 05:56:57.332333",1,"2018-05-07 09:52:49.285240",80,2,R
171,"2018-05-07 09:52:49.388824","2018-04-11 10:05:50.649096",1,"2018-05-07 09:52:49.388870",134,6,T
172,"2018-05-07 09:52:49.502111","2018-04-11 11:16:52.215920",1,"2018-05-07 09:52:49.502160",71,4,T
173,"2018-05-07 09:52:50.389200","2018-04-11 11:16:52.224959",1,"2018-05-07 09:52:50.389245",72,4,T
174,"2018-05-07 09:52:50.492847","2018-04-11 11:16:52.237999",1,"2018-05-07 09:52:50.492892",2,4,T
175,"2018-05-07 09:52:50.596548","2018-04-11 11:16:52.247125",1,"2018-05-07 09:52:50.596594",35,4,T
176,"2018-05-07 09:52:50.698802","2018-04-11 11:16:52.256562",1,"2018-05-07 09:52:50.698824",37,4,T
177,"2018-05-07 09:52:50.800810","2018-04-11 11:16:52.270013",1,"2018-05-07 09:52:50.800854",36,4,R
178,"2018-05-07 09:52:50.905593","2018-04-11 11:16:52.283256",1,"2018-05-07 09:52:50.905641",29,4,R
179,"2018-05-07 09:52:51.008299","2018-04-11 11:16:52.292113",1,"2018-05-07 09:52:51.008355",30,4,R
180,"2018-05-07 09:52:51.112173","2018-04-11 11:16:52.301210",1,"2018-05-07 09:52:51.112220",32,4,R
181,"2018-05-07 09:52:51.215679","2018-04-11 11:16:52.310227",1,"2018-05-07 09:52:51.215725",33,4,R
182,"2018-05-07 09:52:51.318207","2018-04-11 11:16:52.323171",1,"2018-05-07 09:52:51.318252",8,4,R
183,"2018-05-07 09:52:51.466138","2018-04-11 11:16:52.331836",1,"2018-05-07 09:52:51.466183",9,4,R
184,"2018-05-07 09:52:51.568564","2018-04-11 11:16:52.344299",1,"2018-05-07 09:52:51.568608",23,4,R
185,"2018-05-07 09:52:51.672045","2018-04-11 11:16:52.356810",1,"2018-05-07 09:52:51.672063",18,4,R
186,"2018-05-07 09:52:51.812559","2018-04-11 11:16:52.365575",1,"2018-05-07 09:52:51.812603",19,4,R
187,"2018-05-07 09:52:51.917321","2018-04-11 11:16:52.378259",1,"2018-05-07 09:52:51.917373",7,4,R
188,"2018-05-07 09:52:52.022478","2018-04-11 11:16:52.386949",1,"2018-05-07 09:52:52.022523",10,4,R
189,"2018-05-07 09:52:52.127064","2018-04-11 11:16:52.401064",1,"2018-05-07 09:52:52.127110",14,4,R
190,"2018-05-07 09:52:52.230896","2018-04-11 11:16:52.410115",1,"2018-05-07 09:52:52.230941",15,4,R
191,"2018-05-07 09:52:52.334410","2018-04-11 11:16:52.422677",1,"2018-05-07 09:52:52.334472",11,4,R
192,"2018-05-07 09:52:52.545532","2018-04-11 11:16:52.431563",1,"2018-05-07 09:52:52.545578",25,4,R
193,"2018-05-07 09:52:52.649126","2018-04-11 11:16:52.444221",1,"2018-05-07 09:52:52.649171",159,4,R
194,"2018-05-07 09:52:52.829724","2018-04-12 07:29:52.172848",1,"2018-05-07 09:52:52.829770",134,7,R
195,"2018-05-07 09:52:52.934483","2018-04-12 07:29:52.189900",1,"2018-05-07 09:52:52.934531",2,7,T
196,"2018-05-07 09:52:53.041515","2018-04-12 07:29:52.198923",1,"2018-05-07 09:52:53.041561",35,7,T
197,"2018-05-07 09:52:53.146018","2018-04-12 07:29:52.207971",1,"2018-05-07 09:52:53.146063",37,7,T
198,"2018-05-07 09:52:53.251443","2018-04-12 07:29:52.221013",1,"2018-05-07 09:52:53.251488",36,7,R
199,"2018-05-07 09:52:53.358535","2018-04-12 07:29:52.234049",1,"2018-05-07 09:52:53.358579",29,7,R
200,"2018-05-07 09:52:53.462004","2018-04-12 07:29:52.243005",1,"2018-05-07 09:52:53.462050",30,7,R
201,"2018-05-07 09:52:53.601821","2018-04-12 07:29:52.252621",1,"2018-05-07 09:52:53.601877",32,7,R
202,"2018-05-07 09:52:53.704346","2018-04-12 07:29:52.261942",1,"2018-05-07 09:52:53.704392",33,7,R
203,"2018-05-07 09:52:53.807272","2018-04-12 07:29:52.275312",1,"2018-05-07 09:52:53.807316",8,7,R
204,"2018-05-07 09:52:53.910104","2018-04-12 07:29:52.284473",1,"2018-05-07 09:52:53.910148",9,7,R
205,"2018-05-07 09:52:54.013362","2018-04-12 07:29:52.297497",1,"2018-05-07 09:52:54.013426",23,7,R
206,"2018-05-07 09:52:54.115548","2018-04-12 07:29:52.310617",1,"2018-05-07 09:52:54.115593",18,7,R
207,"2018-05-07 09:52:54.250401","2018-04-12 07:29:52.319862",1,"2018-05-07 09:52:54.250448",19,7,R
208,"2018-05-07 09:52:54.354903","2018-04-12 07:29:52.333570",1,"2018-05-07 09:52:54.354946",7,7,R
209,"2018-05-07 09:52:54.459542","2018-04-12 07:29:52.342691",1,"2018-05-07 09:52:54.459586",10,7,R
210,"2018-05-07 09:52:54.580996","2018-04-12 07:29:52.355804",1,"2018-05-07 09:52:54.581040",14,7,R
211,"2018-05-07 09:52:54.684579","2018-04-12 07:29:52.365100",1,"2018-05-07 09:52:54.684624",15,7,R
212,"2018-05-07 09:52:55.692054","2018-04-12 07:29:52.378109",1,"2018-05-07 09:52:55.692118",11,7,R
213,"2018-05-07 09:52:55.796575","2018-04-12 07:29:52.387132",1,"2018-05-07 09:52:55.796637",25,7,R
214,"2018-05-07 09:52:55.941307","2018-04-12 07:29:52.399874",1,"2018-05-07 09:52:55.941352",159,7,R
215,"2018-05-07 09:52:56.044786","2018-04-12 07:37:27.837890",1,"2018-05-07 09:52:56.044831",134,7,T
216,"2018-05-07 09:52:56.147467","2018-04-12 08:33:24.841561",1,"2018-05-07 09:52:56.147510",117,6,T
217,"2018-04-12 11:46:51.748032","2018-04-12 11:46:51.747066",1,"2018-04-12 11:46:51.748048",118,6,T
218,"2018-05-07 09:52:56.250331","2018-04-12 08:33:24.861152",1,"2018-05-07 09:52:56.250375",119,6,T
219,"2018-04-12 12:20:32.113544","2018-04-12 12:20:32.112616",1,"2018-04-12 12:20:32.113558",142,5,T
